activity_class,hemolysis_class,unique_sequences
positive,hemolytic,1585
positive,non_hemolytic,2
positive,continuous,1613
negative,hemolytic,0
negative,non_hemolytic,3146
negative,continuous,0
continuous,hemolytic,294
continuous,non_hemolytic,0
continuous,continuous,10998
continuous,mixed,2359
continuous,unknown,6208
mixed,continuous,9
mixed,hemolytic,204
mixed,mixed,266
mixed,unknown,4443
negative,mixed,110
negative,unknown,2890
positive,mixed,3134
positive,unknown,80947
unknown,hemolytic,14
unknown,mixed,2
unknown,unknown,664
